,primary_sector,count,sum,category_list,main_sector,value
210,Energy Efficiency,32,293317309.0,Energy Efficiency,Cleantech / Semiconductors,1
211,Energy IT,3,10409401.0,Energy IT,Cleantech / Semiconductors,1
212,Engineering Firms,3,5384500.0,Engineering Firms,Others,1
213,Enterprise 2.0,4,25388374.0,Enterprise 2.0,Others,1
214,Enterprise Application,6,82499000.0,Enterprise Application,Others,1
215,Enterprise Purchasing,1,19800000.0,Enterprise Purchasing,"Social, Finance, Analytics, Advertising",1
216,Enterprise Resource Planning,1,15000000.0,Enterprise Resource Planning,Others,1
217,Enterprise Search,7,19487500.0,Enterprise Search,"News, Search and Messaging",1
218,Enterprise Security,1,4250000.0,Enterprise Security,Others,1
219,Enterprise Software,1481,16069229862.0,Enterprise Software,Others,1
220,Enterprises,71,755704673.0,Enterprises,Others,1
221,Entertainment,111,947689241.0,Entertainment,Entertainment,1
222,Entertainment Industry,7,114327381.0,Entertainment Industry,Entertainment,1
223,Entrepreneur,6,4155000.0,Entrepreneur,Others,1
224,Environmental Innovation,19,83557576.0,Environmental Innovation,Cleantech / Semiconductors,1
225,Events,21,42511207.0,Events,Entertainment,1
226,Exercise,4,34327500.0,Exercise,Health,1
227,Eyewear,2,13437000.0,Eyewear,Health,1
228,Facebook Applications,74,1340777816.0,Facebook Applications,"Social, Finance, Analytics, Advertising",1
229,Families,2,5100000.0,Families,Others,1
230,Fantasy Sports,22,780459114.0,Fantasy Sports,Entertainment,1
231,Farming,12,38477125.0,Farming,Manufacturing,1
232,Fashion,117,1271555472.0,Fashion,Entertainment,1
233,Fertility,1,800000.0,Fertility,Cleantech / Semiconductors,1
234,File Sharing,21,1293940600.0,File Sharing,Others,1
235,Film,10,53015947.0,Film,Entertainment,1
236,FinTech,17,117826775.0,FinTech,"Social, Finance, Analytics, Advertising",1
237,Fitness,59,365938120.0,Fitness,Health,1
238,Flash Storage,27,249215972.0,Flash Storage,Others,1
239,Food Processing,17,128069999.0,Food Processing,Manufacturing,1
240,Fraud Detection,13,146620201.0,Fraud Detection,"Social, Finance, Analytics, Advertising",1
241,Freelancers,5,37649857.0,Freelancers,Others,1
242,Freemium,4,31112740.0,Freemium,"Social, Finance, Analytics, Advertising",1
243,FreetoPlay Gaming,3,48500000.0,FreetoPlay Gaming,Entertainment,1
244,Fuels,1,2500000.0,Fuels,Automotive & Sports,1
245,Furniture,2,1649999.0,Furniture,Manufacturing,1
246,Gadget,3,7500000.0,Gadget,Manufacturing,1
247,Gambling,6,28529999.0,Gambling,Entertainment,1
248,Game,8,66475000.0,Game,Entertainment,1
249,Game Mechanics,3,16126000.0,Game Mechanics,Entertainment,1
250,Games,589,4703276004.0,Games,Entertainment,1
251,Gamification,3,4725000.0,Gamification,Entertainment,1
252,Genetic Testing,0,0.0,Genetic Testing,Health,1
253,Geospatial,3,57995114.0,Geospatial,Others,1
254,Gift Card,7,20185040.0,Gift Card,Others,1
255,Gift Exchange,2,325000.0,Gift Exchange,Others,1
256,Gift Registries,1,4000000.0,Gift Registries,Others,1
257,Gold,1,1600000.0,Gold,"Social, Finance, Analytics, Advertising",1
258,Government Innovation,0,0.0,Government Innovation,Others,1
259,Governments,7,76314364.0,Governments,Others,1
260,Gps,23,337411138.0,Gps,"News, Search and Messaging",1
261,Graphics,4,29402500.0,Graphics,"News, Search and Messaging",1
262,Green Consumer Goods,1,2200000.0,Green Consumer Goods,Cleantech / Semiconductors,1
263,Guides,5,27452231.0,Guides,Others,1
264,Hardware,69,1318165504.0,Hardware,Manufacturing,1
265,Hardware + Software,997,7987464541.0,Hardware + Software,Manufacturing,1
266,Health Care,1536,16670312065.0,Health Care,Health,1
267,Health Care Information Technology,39,186844204.0,Health Care Information Technology,Health,1
268,Health Diagnostics,39,178523370.0,Health Diagnostics,Health,1
269,Health Services Industry,3,16657019.0,Health Services Industry,Health,1
270,Health and Insurance,8,103370000.0,Health and Insurance,Health,1
271,Health and Wellness,886,6642108802.0,Health and Wellness,Health,1
272,Healthcare Services,21,197674199.0,Healthcare Services,Health,1
273,Heavy Industry,3,51000000.0,Heavy Industry,Automotive & Sports,1
274,High Tech,1,6600000.0,High Tech,Others,1
